Region,Tranche,Type,R2_Score,RMSE
Corse,70-90m²,Elec,0.8680689820548692,1211.6790796739313
Corse,> 120m²,Elec,0.7272659324765783,4431.039288722415
Corse,30-50m²,Elec,0.8512234609341578,871.6974259843688
Corse,50-70m²,Elec,0.9086742118603512,910.7519028230129
Corse,90-120m²,Elec,0.8092331417244032,2031.3326069622035
Corse,< 30m²,Elec,0.9177284600895376,335.96490335738036
Corse,70-90m²,DPE,0.9088736609271513,1803.429845000726
Corse,> 120m²,DPE,0.8996911048324021,5821.454808749337
Corse,30-50m²,DPE,0.9089020187993834,1086.8213750401812
Corse,50-70m²,DPE,0.8979644281077768,1542.292663505317
Corse,90-120m²,DPE,0.8849581863542031,2994.619545003699
Corse,< 30m²,DPE,0.8144133974255564,838.2965559851041
Pays_de_la_Loire,50-70m²,Elec,0.8528247802682671,1365.9326265387313
Pays_de_la_Loire,70-90m²,Elec,0.8290155817481812,1912.3283854915878
Pays_de_la_Loire,> 120m²,Elec,0.41410260983574454,9458.97096607869
Pays_de_la_Loire,90-120m²,Elec,0.738357022348253,3041.971202201811
Pays_de_la_Loire,30-50m²,Elec,0.9019824617469798,835.4627704864067
Pays_de_la_Loire,< 30m²,Elec,0.18736705024273836,3173.576847284193
Pays_de_la_Loire,50-70m²,DPE,0.8008093540584431,2379.06918324615
Pays_de_la_Loire,70-90m²,DPE,0.8334578359990072,2961.442720874852
Pays_de_la_Loire,> 120m²,DPE,0.8986551669188033,5465.446006212981
Pays_de_la_Loire,90-120m²,DPE,0.8991657785363142,2910.3896954386587
Pays_de_la_Loire,30-50m²,DPE,0.8963429954077297,1286.307424854409
Pays_de_la_Loire,< 30m²,DPE,0.13146644582090128,6032.7724557722895
